year,month, PDO
1926,12,1.632
1927,1,0.713
1927,2,1.134
1927,3,0.776
1927,4,0.163
1927,5,0.137
1927,6,0.485
1927,7,-0.171
1927,8,-0.252
1927,9,0.266
1927,10,-0.457
1927,11,-0.285
1927,12,-0.24
1928,1,0.282
1928,2,0.556
1928,3,0.815
1928,4,0.526
1928,5,0.654
1928,6,1.037
1928,7,-0.289
1928,8,-0.446
1928,9,-1.223
1928,10,-0.769
1928,11,0.203
1928,12,0.387
1929,1,0.496
1929,2,0.032
1929,3,-0.051
1929,4,0.276
1929,5,0.346
1929,6,0.314
1929,7,0.054
1929,8,0.107
1929,9,0.912
1929,10,0.955
1929,11,0.616
1929,12,1.37
1930,1,0.892
1930,2,0.589
1930,3,0.292
1930,4,0.292
1930,5,0.146
1930,6,0.021
1930,7,0.171
1930,8,0.152
1930,9,0.691
1930,10,0.321
1930,11,0.081
1930,12,0.539
1931,1,0.834
1931,2,0.752
1931,3,0.869
1931,4,1.459
1931,5,2.018
1931,6,1.764
1931,7,2.081
1931,8,1.172
1931,9,1.067
1931,10,0.344
1931,11,-0.123
1931,12,-0.756
1932,1,-1.01
1932,2,-1.253
1932,3,-0.427
1932,4,0.509
1932,5,0.02
1932,6,-0.187
1932,7,-0.126
1932,8,-0.041
1932,9,-0.76
1932,10,-0.055
1932,11,-0.427
1932,12,-0.14
1933,1,-0.842
1933,2,-1.017
1933,3,-1.116
1933,4,-0.883
1933,5,-1.534
1933,6,-2.022
1933,7,-2.517
1933,8,-2.138
1933,9,-2.303
1933,10,-1.486
1933,11,-0.459
1933,12,-0.746
1934,1,-0.6
1934,2,-0.017
1934,3,0.562
1934,4,1.07
1934,5,0.724
1934,6,-0.134
1934,7,0.206
1934,8,1.171
1934,9,1.093
1934,10,1.749
1934,11,1.439
1934,12,1.105
1935,1,0.417
1935,2,0.081
1935,3,-0.252
1935,4,0.243
1935,5,0.81
1935,6,1.15
1935,7,0.516
1935,8,0.516
1935,9,0.614
1935,10,0.73
1935,11,0.486
1935,12,1.305
1936,1,1.747
1936,2,1.416
1936,3,1.001
1936,4,1.159
1936,5,1.541
1936,6,2.028
1936,7,2.48
1936,8,1.988
1936,9,1.202
1936,10,2.043
1936,11,2.589
1936,12,1.343
1937,1,0.156
1937,2,-0.187
1937,3,-0.014
1937,4,-0.403
1937,5,-0.019
1937,6,1.383
1937,7,0.137
1937,8,-0.254
1937,9,0.239
1937,10,0.59
1937,11,0.868
1937,12,0.809
1938,1,1.14
1938,2,0.063
1938,3,-0.397
1938,4,-0.081
1938,5,-0.488
1938,6,-0.439
1938,7,-0.23
1938,8,-0.187
1938,9,0.066
1938,10,0.819
1938,11,0.007
1938,12,0.683
1939,1,0.578
1939,2,-0.25
1939,3,-0.647
1939,4,-0.007
1939,5,0.176
1939,6,0.075
1939,7,-0.683
1939,8,-0.59
1939,9,-0.9
1939,10,-0.998
1939,11,-0.729
1939,12,1.16
1940,1,1.661
1940,2,1.411
1940,3,1.794
1940,4,2.133
1940,5,1.983
1940,6,2.301
1940,7,2.083
1940,8,1.711
1940,9,1.543
1940,10,1.442
1940,11,1.717
1940,12,2.425
1941,1,2.584
1941,2,2.77
1941,3,2.392
1941,4,2.417
1941,5,2.232
1941,6,2.931
1941,7,2.971
1941,8,3.202
1941,9,2.238
1941,10,1.456
1941,11,1.641
1941,12,2.098
1942,1,2.144
1942,2,1.718
1942,3,1.176
1942,4,1.181
1942,5,0.832
1942,6,1.023
1942,7,0.832
1942,8,0.87
1942,9,0.509
1942,10,0.452
1942,11,-0.063
1942,12,-0.877
1943,1,-1.402
1943,2,-0.746
1943,3,0.156
1943,4,1.102
1943,5,0.576
1943,6,-0.169
1943,7,-0.077
1943,8,-1.249
1943,9,-1.046
1943,10,-1.181
1943,11,-0.264
1943,12,1.512
1944,1,1.255
1944,2,0.224
1944,3,-0.24
1944,4,-0.442
1944,5,-1.175
1944,6,-1.658
1944,7,-1.116
1944,8,-0.457
1944,9,-1.116
1944,10,-0.88
1944,11,-0.382
1944,12,-0.349
1945,1,0.05
1945,2,-0.025
1945,3,0.247
1945,4,-0.026
1945,5,-0.06
1945,6,0.402
1945,7,0.762
1945,8,0.207
1945,9,0.214
1945,10,0.15
1945,11,-0.841
1945,12,-1.488
1946,1,-0.93
1946,2,0.506
1946,3,0.704
1946,4,0.72
1946,5,-0.132
1946,6,-0.386
1946,7,0.347
1946,8,0.158
1946,9,0.249
1946,10,-0.603
1946,11,-1.237
1946,12,-1.428
1947,1,0.023
1947,2,0.461
1947,3,0.705
1947,4,0.464
1947,5,-0.005
1947,6,0.951
1947,7,0.736
1947,8,0.8
1947,9,0.575
1947,10,1.415
1947,11,0.673
1947,12,0.159
1948,1,0.117
1948,2,-0.23
1948,3,-0.884
1948,4,-0.733
1948,5,-1.298
1948,6,-0.029
1948,7,0.012
1948,8,-0.516
1948,9,-0.768
1948,10,-1.391
1948,11,-0.744
1948,12,-1.795
1949,1,-2.345
1949,2,-2.615
1949,3,-1.447
1949,4,-1.208
1949,5,-0.918
1949,6,-0.753
1949,7,-0.898
1949,8,-0.987
1949,9,-0.948
1949,10,-1.574
1949,11,-0.767
1949,12,-0.699
1950,1,-1.317
1950,2,-1.654
1950,3,-1.346
1950,4,-1.402
1950,5,-2.424
1950,6,-1.798
1950,7,-2.62
1950,8,-1.74
1950,9,-1.401
1950,10,-1.328
1950,11,-1.106
1950,12,-0.766
1951,1,-0.803
1951,2,-1.14
1951,3,-1.29
1951,4,-0.883
1951,5,-0.648
1951,6,-1.142
1951,7,0.143
1951,8,-1.048
1951,9,-0.129
1951,10,0.074
1951,11,-0.145
1951,12,-1.321
1952,1,-2.005
1952,2,-1.153
1952,3,-1.49
1952,4,-1.498
1952,5,-1.393
1952,6,-1.647
1952,7,-1.458
1952,8,-0.814
1952,9,-0.666
1952,10,-0.322
1952,11,-0.163
1952,12,-0.564
1953,1,-0.091
1953,2,-0.252
1953,3,-0.966
1953,4,-0.628
1953,5,-0.177
1953,6,-0.179
1953,7,0.354
1953,8,-0.41
1953,9,-0.581
1953,10,-0.845
1953,11,-0.231
1953,12,-0.023
1954,1,-0.774
1954,2,-0.605
1954,3,-0.732
1954,4,-0.702
1954,5,-0.211
1954,6,0.592
1954,7,0.095
1954,8,0.148
1954,9,-0.499
1954,10,0.4
1954,11,1.003
1954,12,0.461
1955,1,-0.067
1955,2,-0.649
1955,3,-0.909
1955,4,-1.645
1955,5,-1.435
1955,6,-1.903
1955,7,-2.218
1955,8,-1.946
1955,9,-1.829
1955,10,-2.564
1955,11,-1.957
1955,12,-1.64
1956,1,-1.61
1956,2,-1.643
1956,3,-2.328
1956,4,-2.007
1956,5,-1.241
1956,6,-1.865
1956,7,-1.227
1956,8,-0.532
1956,9,-0.039
1956,10,-1.23
1956,11,-1.884
1956,12,-1.005
1957,1,-1.018
1957,2,-1.22
1957,3,-0.55
1957,4,-0.417
1957,5,0.226
1957,6,1.313
1957,7,0.498
1957,8,0.273
1957,9,1.691
1957,10,1.591
1957,11,1.493
1957,12,0.405
1958,1,0.706
1958,2,0.872
1958,3,0.683
1958,4,0.675
1958,5,1.393
1958,6,1.548
1958,7,0.785
1958,8,1.169
1958,9,0.922
1958,10,0.398
1958,11,0.407
1958,12,1.074
1959,1,1.075
1959,2,0.541
1959,3,0.058
1959,4,0.119
1959,5,0.208
1959,6,0.254
1959,7,-0.118
1959,8,0.002
1959,9,-0.182
1959,10,1.083
1959,11,1.38
1959,12,0.945
1960,1,0.359
1960,2,0.705
1960,3,0.446
1960,4,0.507
1960,5,0.642
1960,6,1.051
1960,7,-0.09
1960,8,0.12
1960,9,-0.498
1960,10,0.064
1960,11,0.042
1960,12,0.103
1961,1,0.879
1961,2,0.886
1961,3,0.684
1961,4,0.486
1961,5,-0.216
1961,6,-0.455
1961,7,-0.671
1961,8,-0.426
1961,9,-0.73
1961,10,-1.262
1961,11,-0.901
1961,12,-1.448
1962,1,-0.85
1962,2,-0.632
1962,3,-0.708
1962,4,-0.585
1962,5,-0.907
1962,6,-1.504
1962,7,-1.443
1962,8,-0.513
1962,9,-1.13
1962,10,-1.329
1962,11,-0.241
1962,12,-0.21
1963,1,0.132
1963,2,0.321
1963,3,-0.056
1963,4,-0.009
1963,5,-0.881
1963,6,-0.62
1963,7,-0.957
1963,8,-0.704
1963,9,1.059
1963,10,0.248
1963,11,-0.377
1963,12,0.318
1964,1,0.301
1964,2,0.135
1964,3,-0.506
1964,4,-0.821
1964,5,-1.71
1964,6,-0.485
1964,7,-0.7
1964,8,-1.119
1964,9,-0.858
1964,10,-0.372
1964,11,-0.424
1964,12,-0.427
1965,1,-0.741
1965,2,-0.341
1965,3,0.052
1965,4,0.143
1965,5,-0.277
1965,6,-0.513
1965,7,-0.485
1965,8,0.526
1965,9,1.053
1965,10,0.647
1965,11,0.559
1965,12,0.218
1966,1,-0.528
1966,2,-0.228
1966,3,-0.633
1966,4,-0.085
1966,5,-0.332
1966,6,0.154
1966,7,0.118
1966,8,0.101
1966,9,0.051
1966,10,-0.184
1966,11,-0.32
1966,12,-0.057
1967,1,-0.153
1967,2,-0.118
1967,3,-0.508
1967,4,-0.754
1967,5,-1.107
1967,6,-0.872
1967,7,-0.635
1967,8,-0.861
1967,9,-0.231
1967,10,0.041
1967,11,0.247
1967,12,-0.652
1968,1,-0.549
1968,2,-0.103
1968,3,0.196
1968,4,-0.322
1968,5,-0.299
1968,6,0.311
1968,7,0.716
1968,8,0.276
1968,9,0.464
1968,10,0.2
1968,11,0.278
1968,12,0.117
1969,1,-0.318
1969,2,-0.792
1969,3,-0.791
1969,4,-0.733
1969,5,-0.585
1969,6,1.078
1969,7,0.054
1969,8,-0.347
1969,9,-0.548
1969,10,1.124
1969,11,0.755
1969,12,1.102
1970,1,1.111
1970,2,1.114
1970,3,1.214
1970,4,0.428
1970,5,-0.547
1970,6,0.068
1970,7,-0.521
1970,8,-1.213
1970,9,-1.072
1970,10,-0.73
1970,11,-0.543
1970,12,-0.718
1971,1,-0.989
1971,2,-1.001
1971,3,-1.029
1971,4,-1.208
1971,5,-1.259
1971,6,-1.484
1971,7,-1.896
1971,8,-0.189
1971,9,0.05
1971,10,-0.154
1971,11,-0.985
1971,12,-1.519
1972,1,-1.674
1972,2,-1.53
1972,3,-1.114
1972,4,-1.235
1972,5,-1.603
1972,6,-1.409
1972,7,-0.972
1972,8,0.258
1972,9,0.243
1972,10,0.125
1972,11,0.133
1972,12,-0.287
1973,1,-0.067
1973,2,-0.267
1973,3,-0.521
1973,4,-0.821
1973,5,-1.017
1973,6,-0.988
1973,7,-0.708
1973,8,-0.738
1973,9,-0.37
1973,10,-0.686
1973,11,-0.929
1973,12,-0.69
1974,1,-0.537
1974,2,-0.98
1974,3,-0.834
1974,4,-0.374
1974,5,-0.432
1974,6,-0.326
1974,7,0.188
1974,8,0.205
1974,9,0.886
1974,10,0.433
1974,11,0.642
1974,12,0.239
1975,1,-0.411
1975,2,-0.576
1975,3,-0.706
1975,4,-1.3
1975,5,-1.568
1975,6,-1.184
1975,7,-0.559
1975,8,-0.816
